DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2010,97.4,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2011,97.8,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2012,98.5,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2013,99.4,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2014,99.7,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2015,100.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2016,100.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2017,100.7,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2018,101.3,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2019,101.5,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2020,101.8,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2021,103.7,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2010,91.5,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2011,93.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2012,95.7,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2013,97.4,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2014,98.5,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2015,100.0,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2016,100.6,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2017,104.1,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2018,107.1,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2019,108.3,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2020,109.2,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2021,120.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2022,132.8,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2010,96.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2011,97.2,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2012,96.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2013,98.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2014,98.7,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2015,100.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2016,100.8,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2017,103.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2018,106.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2019,112.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2020,115.2,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2021,127.9,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2022,196.4,p
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2010,102.5,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2011,106.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2012,107.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2013,102.7,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2014,100.8,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2015,100.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2016,99.2,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2017,99.3,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2018,100.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2019,102.8,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2020,103.1,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2021,109.7,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2010,97.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2011,98.7,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2012,99.2,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2013,98.8,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2014,100.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2015,100.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2016,100.3,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2017,103.0,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2018,107.2,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2019,113.1,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2020,115.5,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2021,125.1,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2022,150.6,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2010,91.8,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2011,95.2,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2012,97.1,
ESTAT:STS_COPI_A(1.0),01/03/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2013,97.8,
